CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,BORO_CD
"962296303","01/01/2016","15:00:00","01/01/2016","15:10:00","01/01/2016","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","QUEENS","109","INSIDE","RESIDENCE-HOUSE","","","1029422","226315","40.787751343","-73.83687596","(40.787751343, -73.83687596)",407
"915994866","01/01/2016","15:00:00","01/01/2016","16:00:00","01/01/2016","341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BRONX","48","","STREET","","","1016691","250307","40.853658463","-73.882734202","(40.853658463, -73.882734202)",206
"391656820","01/01/2016","15:00:00","01/01/2016","15:15:00","01/01/2016","361","OFF. AGNST PUB ORD SENSBLTY &","661","LEWDNESS,PUBLIC","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","94","","STREET","","","1001451","203871","40.726246997","-73.937942416","(40.726246997, -73.937942416)",301
"654931016","01/01/2016","14:55:00","01/01/2016","15:05:00","01/01/2016","351","CRIMINAL MISCHIEF & RELATED OF","259","CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. HOUSING POLICE","BROOKLYN","69","INSIDE","RESIDENCE - PUBLIC HOUSING","","BAY VIEW","1016435","169704","40.632424571","-73.884045262","(40.632424571, -73.884045262)",318
"360054061","01/01/2016","14:55:00","01/01/2016","15:05:00","01/01/2016","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","BRONX","45","","STREET","","","1034095","241606","40.829695704","-73.819887293","(40.829695704, -73.819887293)",210
"949286937","01/01/2016","14:50:00","01/01/2016","15:10:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","STATEN ISLAND","120","INSIDE","RESIDENCE - APT. HOUSE","","","961825","174438","40.645448464","-74.080810034","(40.645448464, -74.080810034)",501
"253520642","01/01/2016","14:50:00","01/01/2016","15:10:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","STATEN ISLAND","120","INSIDE","RESIDENCE - APT. HOUSE","","","961825","174438","40.645448464","-74.080810034","(40.645448464, -74.080810034)",501
"628395736","01/01/2016","14:37:00","01/01/2016","15:17:00","01/01/2016","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. POLICE DEPT","MANHATTAN","9","FRONT OF","STREET","","","989421","202606","40.722790089","-73.981346102","(40.722790089, -73.981346102)",103
"182319142","01/01/2016","14:30:00","01/01/2016","14:35:00","01/01/2016","344","ASSAULT 3 & RELATED OFFENSES","114","OBSTR BREATH/CIRCUL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BRONX","44","INSIDE","RESIDENCE-HOUSE","","","1008669","246692","40.843762188","-73.911745153","(40.843762188, -73.911745153)",204
"355713605","01/01/2016","14:30:00","01/01/2016","15:30:00","01/01/2016","126","MISCELLANEOUS PENAL LAW","198","CRIMINAL CONTEMPT 1","COMPLETED","FELONY","N.Y. HOUSING POLICE","QUEENS","103","INSIDE","RESIDENCE - PUBLIC HOUSING","","","1042057","191941","40.693329908","-73.791543893","(40.693329908, -73.791543893)",412
"660616373","01/01/2016","14:30:00","01/01/2016","14:35:00","01/01/2016","341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","BROOKLYN","68","FRONT OF","PARKING LOT/GARAGE (PUBLIC)","","","975575","170185","40.633799031","-74.031256384","(40.633799031, -74.031256384)",310
"386125127","01/01/2016","14:30:00","01/01/2016","14:59:00","01/01/2016","121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","N.Y. POLICE DEPT","BRONX","47","INSIDE","RESIDENCE - APT. HOUSE","","","1023400","265246","40.894634176","-73.858395352","(40.894634176, -73.858395352)",212
